X Position [ppos],Y Position [ppos],Calibration [nW/(pstr/sec)],Calibration Sigma [nW/(pstr/sec)]
1838.7731215215806,862.6082002152498,0.73810256,0.0032462134685308165
1762.0142085431823,863.3468527391473,0.68485475,0.003068134079530105
282.5386890955521,877.3164314352982,0.7209637,0.0031872171149003783
429.70642590023743,880.3948613307356,0.59722304,0.0024699967459250382
358.153037652881,878.4894286464554,0.6341591,0.0027621202434520943
688.7494479499499,881.0767208030601,0.55812645,0.002203779342035222
780.2655501306799,881.1866718115022,0.55689895,0.002158331676918227
607.594382096711,881.3705371734794,0.5503006,0.0022754963814354883
519.6666003347766,878.3466414821845,0.5855198,0.0025548593118082073
953.3794763879106,880.6346886828999,0.5494751,0.0021516755264885867
868.7647817528077,880.0395678506151,0.5385518,0.0021002213987088504
1054.923358235397,879.5701388023383,0.5655113,0.002239580576177814
1165.3472024055845,877.3057593115441,0.52664465,0.002077055043522381
1339.1980495705195,876.5442103442521,0.53141916,0.002169277595428386
1253.6414079851027,876.0770153576069,0.519015,0.0021359700723210485
1606.7847676016638,869.4986530990429,0.61286926,0.0024927945031070547
1685.9347597410494,866.5172706652464,0.6716089,0.0028826216291928347
1529.248156747001,871.4271948390001,0.5843647,0.0023613034490637926
1432.1085853659854,875.3339354164749,0.55562127,0.0022223374594082467
1820.0073588570633,290.9281204519768,0.81626135,0.004576826087361202
1751.8741759277202,282.90427385550754,0.72429127,0.003538710203676244
1062.7386669192265,251.65205577234167,0.5704386,0.002331904216185497
1232.4472702188427,254.7590691332127,0.5956126,0.0024580654894493115
703.8124216898917,258.68032288387127,0.6120493,0.0025649153845158034
871.3156922328423,253.3879001844221,0.58727413,0.002267869368188655
261.0432616891408,289.7377103584561,0.78855705,0.005582089393105659
385.7731269180897,276.7850461019391,0.68319833,0.0035850056038668073
309.68296045566586,283.36914690388977,0.7341428,0.004820733123928297
630.5396539525457,260.2663021707629,0.6029554,0.002398038071210371
717.6901512481845,256.3365214146168,0.6026197,0.0023769599782055353
547.7970889257216,264.3013574484546,0.6080624,0.002537002532337381
463.5015855925081,269.33611784134206,0.6298215,0.002822735725262843
894.9425243032922,250.774351430233,0.568227,0.002251862011502467
810.3747165851921,253.53347509691963,0.5973798,0.002362618837992773
986.8199209807841,250.93867314566407,0.57760054,0.0022232757593976474
1070.5589438338066,251.4093683468576,0.5557299,0.002217766702996694
1340.639326808338,257.3377754760174,0.60706073,0.0023818752712549116
1155.08921195119,252.15206330889697,0.57308745,0.0022591640454627106
1599.3840280602913,271.26122438315997,0.65274525,0.002801081423217639
1674.1166548092754,277.6383371037189,0.6887698,0.003055509344508396
1522.0402167512855,266.78272205422263,0.6232442,0.0026310076954648193
1430.362122196394,260.5622386795894,0.60400754,0.0025058750673531095
1816.1741075510752,1123.4125846693853,0.85701966,0.003777961495262685
1742.3738906769886,1130.3261499751793,0.7914316,0.0034142174227318523
269.8729764781029,1138.215687208644,0.7850888,0.004437296183552927
442.8868625344529,1148.1607348611535,0.69551295,0.002943466347056205
360.72038410659997,1144.573957305882,0.82500905,0.0034380801854001822
691.3121379031004,1158.7998805313553,0.68990606,0.0026903889199680663
782.3967201340329,1161.1086374040844,0.6456311,0.0024843444333427864
609.3308969976104,1157.2316756529606,0.6827156,0.002717210720494478
529.1520070471643,1153.9873755231706,0.65604204,0.0026281878114602342
956.3869960766733,1164.7315649818224,0.63784677,0.002470468927967094
869.0358106774486,1163.4917426432694,0.6210164,0.0023807550608479673
1064.190978285381,1161.8092598294954,0.6256755,0.002357750225323274
1145.0887383114386,1160.9221489108882,0.62559927,0.0024691655483213134
1327.0212459390586,1155.873239352647,0.6572475,0.0026302278781195725
1236.884304972326,1158.308299633872,0.63362885,0.002561588069344983
1584.7382607077243,1142.307899722205,0.7599914,0.0030749485266017527
1681.0031716147737,1135.5558130885947,0.74681586,0.0031787051088432174
1502.805541262326,1147.8223061970562,0.7656441,0.0030535250684089635
1416.3400133437246,1152.878332266274,0.69883364,0.002698861507701506
1810.3760537186022,1238.3113904025813,0.89899653,0.0040969851147674655
1737.6539888901095,1245.8217025347828,0.82172334,0.003681035645243569
308.3637480246459,1255.6185505844126,0.77813536,0.004713918466218087
454.64308391740803,1266.5641467517617,0.69494444,0.002942447300793987
364.7366269661053,1260.1188815825735,0.7324775,0.0036796749401630403
703.1251737519018,1280.5096132171248,0.6472826,0.002564776767856022
790.7447694614898,1282.7313717710745,0.6254192,0.0024934469581815214
612.4789520013443,1276.71193582997,0.6665202,0.0026589596974723787
537.7131459387208,1271.54256163993,0.70257926,0.0029293461555970506
965.9075026909726,1285.3471940275379,0.595173,0.0023619873222866803
890.4446772527406,1284.1682609338384,0.59675044,0.0024011781906260027
1074.7863140432362,1284.2516988640962,0.6072641,0.002410783900818924
1145.3024160322095,1283.302047160247,0.6034641,0.0023059512988005118
1330.895606917282,1276.6172036252713,0.63524455,0.0025090620796826856
1245.729314438772,1280.3871847543712,0.6278859,0.0024930923576673447
1576.8668847726499,1261.0552586445845,0.7095265,0.003036114623208245
1657.717110002667,1254.8739757785909,0.759079,0.0032415858669317455
1491.566253108581,1266.822892076842,0.68944013,0.0028864648068405246
1404.1444915968107,1273.0665812521336,0.6735994,0.002712194486315865
1834.6626066728206,978.6568568516308,0.7986954,0.003628134046973547
1759.4466610471757,982.1142321875718,0.7608717,0.003335438588166212
285.0774456571344,996.0593405932386,0.7228988,0.003231563417823361
429.47630697087084,1001.1907510186245,0.62922513,0.0026252764956032656
350.81874198630305,998.3004999866507,0.6927002,0.0029230095982121745
696.474925747949,1007.0290351614124,0.5704207,0.0022690236683076226
789.0730336354617,1008.6678066974099,0.5690668,0.002273332169667346
606.3115433736369,1004.7570775430588,0.60343444,0.0024344035185651976
515.3580773881905,1004.2686217474231,0.6025271,0.002505252796080354
970.2742035202034,1006.8923490713998,0.5505191,0.0022268281216391928
874.0711928299254,1006.8089892326199,0.5655314,0.0021956642760275263
1066.3312360016012,1007.6802467411,0.5411019,0.002152168162634373
1155.879526159466,1006.2898177411378,0.54286367,0.0020921899358111156
1339.6640851537334,1000.9812068510757,0.5546618,0.002228672570836237
1252.4951534709132,1004.5343284034437,0.5470289,0.002223924378260272
1596.3973751906556,990.5862168163252,0.66298777,0.0026524151510240917
1685.1781315343258,985.9764025163239,0.6956258,0.002936052465542438
1513.9886626833766,994.1433462893636,0.6220124,0.0024324086187214704
1433.9833537409822,996.6866941777776,0.5905261,0.0024197451581516064
1666.3178831957039,590.064183923998,0.6544647,0.002676379418005355
1583.852724834346,588.497525265963,0.63121593,0.0025422149778450065
1741.1937956514096,590.4407164243386,0.70348704,0.0028767106256739794
1817.525349352407,591.7390701313197,0.7691714,0.0033285157987945806
251.73435209056294,642.3004524335197,0.6716155,0.003000464243833182
275.0665707606808,609.7657445015363,0.6773965,0.002897592200394537
244.22015062454818,611.9041793489439,0.6842625,0.0032023580641196542
508.6897199900512,600.9341244781493,0.5921515,0.002416868298694555
588.9064986425669,597.53207518784,0.55693495,0.0022538252688125843
422.8024225098907,604.815151599336,0.59618115,0.0024797490791099086
352.9760717997957,607.9915345273831,0.63768613,0.0026413226698724255
769.9043989434682,590.871044157128,0.5320056,0.002135694984125477
